Canela China ,Pardo amarillento opaco,,,,,,,,,,,,,,,,,Aromático característico,Azucarado ligero picante,Polvo,,,,
Castañas,Blanco marfíl con restos de cutícula marrón,,,,, 8 a 15 cm,,,,,,,,,,Piel lisa con presencia parcial de cutícula,,Característico,"Dulce, terroso y ligeramente cremoso",Rigida,,,,
Cebolla roja,"Externa : Rojo - purpura, 
Interna: blanca",,,,,,,,6 - 10 cm,,,,,,,Lizo,,Característico,característico picante,Firme,,,,
Comino,Gris ocre - marrón claro,,,,,,,,,,,,,,,,,Aromático característico,"Terroso, ligero amargo y picante",,,,,
Hierbas aromáticas,Verde oscuro,,,,,,,,,,,,,,,Hojas deshidratadas,,Característico,Característico,,,,,Ausencia
Glutamato monosódico (Ajinomoto),Blanco,,,,,,,,,,,,,,,Cristales,,Inodoro,,,,,6.7 - 7.2,
Leche evaporada,Blanco - crema,,,,,,,,,,,,,,,,,Característico,Sabor a leche ligero dulce,,,,,
Mayonesa,Amarillo claro,,,,,,,,,,,,,,,Homogénea,,Característico,Característico,Cremosa,,,3.6 - 3.8,
Pepinillo encurtido,Característico,,,,,,,,,,,,,,,,,Característico,Agradable,Firme sin arrugas,,,3 - 3.6,
Perma-Flo,Blanco,,,,,,,,,,,,,,,Polvo,,Característico a almidón,,,,,,
Pimienta Blanca molida,Partículas amarronadas a blanco marfíl,,,,,,,,,,,,,,,Heterogéneo (grueso y fino),,Característico,Ligeramente picante,Suave,,,,Máx 0.1%
Pimienta Negra molida,Grisáceo o negruzco,,,,,,,,,,,,,,,Heterogéneo (grueso y fino),,"Penetrante, picante",Punzante característico a pimienta negra,Suave,,,,Máx 0.1%
Pimiento,"Rojo, amarillo o verde",,,,,Min 5.5 cm,,,Min 5 cm,,,,,,,"Piel lisa, carnoso y sin manchas",,Herbáceo y vegetal,dulce afrutado,Firme,,,,
Polisorbato 80,Amarillo ambar,,,,,,,,,,,,,,,Liquido aceitoso,,Inodoro,,Viscosa,,, 5 - 7,
Rocoto,"Rojo, amarillo o verde",,,4.1 +/-  0.45 cm,,4.4 +/- 0.79 cm,,,,,,,,,,"Piel lisa, carnoso y sin manchas",,Herbáceo y vegetal,Picante ligeramente dulce,Firme,,,,
Sabor Ajo x31242-04 - CRAMER,Liquido translucido ligeramente amarillo,,,,,,,,,,,,,,,,,Característico a ajo,Característico a ajo crudo,,1.450 - 1.4905,,,
Sal,Blanco,,,,,,,,,,,,,,,Granulosa,,Inodoro,Salado caractyerístico,,,,,
Mostaza,Amarillo oscuro con tonos marrones,,,,,,,,,,,,,,,Pasta,,ligero agrio ácido (acético),picante ácido con toque de amargor,Cremosa homogénea,,,3.3 - 3.6,
Salsa Lee perrins,Marrón oscuro,,,,,,,,,,,,,,,Líquido con sedimentos,,"Mezcla equilibrada de vinagre,especias,fruta y pescado","Umami, salado y especiado",,,,3.3 - 3.6,
Sorbato de potasio,Blanco,,,,,,,,,,,,,,,Polvo o gránulos blancos,,,,Granulada,,,,
Stabimix,Blanco - crema claro,,,,,,,,,,,,,,,Polvo fino,,Neutro,Neutro,,,,4.5 - 7.5,
Vinagre blanco al 5%,Incolo - amarillento,,,,,,,,,,,,,,,Líquido ,,lígero a alcohol,ácido característico,,,,2.3 - 2.8,
